Age,Experience,WorkingHours,ProjectsCompleted,Attendance,TrainingHours,PreviousPerformance,OvertimeHours,JobSatisfaction,Participation,PerformanceScore
42,4.2,8.9,2,83.5,40.6,51.0,26.8,8,6,58.77
38,12.2,8.2,20,85.6,40.4,43.3,17.6,3,7,100.0
27,9.2,11.4,8,83.1,11.6,67.1,10.2,7,1,78.83
43,19.7,10.4,14,96.4,23.3,64.8,3.1,7,6,100.0
21,9.9,8.5,8,77.0,17.7,45.1,25.1,5,6,67.73
21,3.5,7.0,16,75.3,49.0,66.0,3.1,4,2,92.06
37,8.7,7.0,8,91.2,13.6,45.2,9.9,8,7,81.28
35,14.8,9.5,20,70.0,33.8,99.5,15.3,4,1,100.0
33,9.7,7.0,0,71.2,41.1,94.4,2.6,8,8,90.35
22,2.8,6.4,9,61.7,43.1,56.9,1.3,2,10,77.42
23,10.0,8.2,6,77.9,8.6,40.1,20.1,7,2,61.19
38,10.0,8.9,1,64.7,41.2,75.4,0.2,10,1,80.67
28,7.8,10.4,15,79.9,30.8,43.2,23.1,8,1,80.61
23,9.0,7.7,0,98.7,28.7,86.8,7.3,8,1,78.91
47,9.0,8.0,3,70.3,43.9,44.9,22.0,5,1,55.76
41,4.0,8.6,11,71.7,0.3,81.0,24.4,3,3,66.65
55,8.8,10.1,17,86.1,39.3,40.5,27.5,6,8,91.3
46,14.6,8.8,17,84.7,34.1,82.8,3.5,3,2,100.0
32,8.9,9.7,16,64.7,33.8,84.4,16.3,6,4,100.0
36,9.0,11.4,1,97.4,37.6,80.6,13.1,5,7,80.06
35,1.8,9.4,8,86.8,19.4,93.4,15.5,6,4,78.68
22,7.6,6.8,16,79.0,10.5,55.7,28.9,6,7,83.75
22,7.5,7.7,8,68.4,9.4,56.8,8.5,6,7,75.84
24,19.9,11.3,8,75.5,8.2,52.8,21.4,7,6,88.07
32,14.0,10.6,7,70.7,22.4,46.9,29.5,1,8,66.38
44,15.7,10.2,19,99.8,7.4,62.4,26.3,3,2,98.58
49,19.7,11.7,20,92.3,15.6,73.2,15.9,4,5,100.0
51,9.1,11.4,8,70.0,9.5,89.7,4.5,8,3,90.29
36,14.0,9.8,9,77.5,17.9,61.3,10.4,8,9,97.13
49,16.3,6.6,7,88.1,30.0,46.5,26.6,5,5,78.55
41,0.7,10.9,14,65.3,15.8,94.4,14.4,8,7,91.51
44,16.8,9.1,4,65.8,49.2,98.0,6.7,6,4,100.0
39,18.6,12.0,10,84.9,4.7,80.0,24.8,7,2,94.32
50,18.8,9.1,16,82.4,17.2,74.6,9.0,1,5,100.0
42,6.9,10.0,19,81.5,9.4,64.6,7.0,5,1,94.34
30,2.9,7.1,9,72.6,3.0,83.0,19.4,2,10,71.82
50,11.6,8.2,2,71.0,10.8,79.5,9.9,7,2,73.54
21,11.5,6.7,9,82.9,45.3,93.6,11.3,7,9,100.0
51,11.5,11.3,12,98.8,40.8,92.8,18.7,7,10,100.0
24,2.6,9.9,3,96.8,48.9,67.6,9.8,5,7,73.7
31,0.1,11.6,5,75.4,33.2,91.3,0.5,3,7,76.48
37,16.3,9.7,8,71.4,26.0,56.3,3.7,3,6,89.49
35,1.2,7.1,6,72.9,10.7,89.1,9.1,6,5,72.16
52,3.4,8.9,3,62.6,24.7,89.8,12.8,10,1,69.79
29,14.5,11.4,12,78.6,5.0,75.4,7.9,10,9,100.0
37,4.1,9.7,3,70.0,33.6,86.3,15.6,6,8,73.87
40,10.0,10.5,13,71.8,48.8,72.5,21.5,5,5,93.25
50,8.7,11.0,6,63.3,4.9,58.5,14.2,5,7,67.97
41,19.7,8.8,15,95.3,45.0,86.6,13.3,8,8,100.0
23,16.9,8.1,9,90.5,30.4,62.3,11.5,7,2,96.48
46,17.5,7.6,16,92.8,43.9,49.9,21.6,4,10,100.0
27,19.7,11.3,8,85.1,23.0,73.4,3.9,7,8,100.0
42,10.6,9.0,4,67.2,26.3,64.9,26.2,10,2,69.62
34,3.8,6.5,18,84.9,17.3,69.3,8.8,8,9,100.0
43,13.2,9.3,18,64.8,4.0,86.9,0.9,2,2,100.0
33,3.6,11.6,2,62.6,11.8,61.7,13.7,1,7,48.92
46,9.5,9.7,4,68.9,43.1,45.6,23.1,1,8,60.16
21,12.5,9.0,3,61.9,20.2,84.7,7.5,6,1,77.27
24,17.6,9.4,5,93.1,49.7,54.5,24.7,4,9,88.49
46,10.9,6.8,12,94.3,6.5,80.8,27.3,10,9,100.0
55,3.1,11.6,0,65.3,18.1,66.9,14.3,2,7,49.0
30,6.8,7.6,18,88.0,29.7,85.5,15.5,5,9,100.0
46,13.2,10.3,13,72.4,6.6,83.9,2.8,6,3,100.0
39,5.5,9.2,0,75.3,46.3,87.2,3.4,4,5,73.39
28,2.1,9.1,19,96.6,10.2,77.1,15.3,3,10,98.34
29,9.3,8.3,1,98.6,47.1,41.0,2.4,2,7,69.64
35,17.1,6.6,3,85.2,44.4,83.6,21.6,4,1,83.23
45,10.5,7.1,9,60.2,13.1,84.3,22.4,5,6,81.41
23,9.6,10.9,5,62.2,36.2,57.4,12.8,9,9,82.07
48,6.8,8.0,17,87.1,1.2,78.6,2.1,4,7,100.0
31,15.8,7.2,19,67.9,45.2,68.9,7.6,4,6,100.0
43,9.4,11.9,10,79.0,6.0,96.1,12.1,8,5,96.69
23,8.3,7.4,17,97.4,6.2,55.6,14.6,10,9,100.0
30,0.9,6.9,19,83.3,21.1,70.1,3.4,7,5,99.56
28,9.4,11.1,18,60.1,10.9,86.8,18.4,8,5,100.0
33,0.9,7.2,15,85.3,19.8,65.7,0.2,3,6,86.97
25,1.9,7.3,10,93.9,2.7,78.4,28.3,7,4,70.76
43,11.0,7.9,5,98.3,29.8,90.1,27.5,8,7,90.31
37,13.4,8.8,8,66.5,23.9,72.8,1.5,6,3,91.51
26,5.0,10.4,13,70.7,15.0,91.9,26.3,1,4,75.95
39,4.6,11.5,17,88.5,21.5,73.2,23.2,7,3,91.02
50,15.3,8.4,7,75.4,20.3,95.4,28.9,4,10,93.03
47,15.8,7.6,8,91.9,36.2,96.6,1.4,10,2,100.0
29,11.9,7.5,8,97.1,2.1,71.8,14.9,9,6,92.07
34,12.6,9.3,6,62.6,26.1,83.0,13.2,3,10,87.59
38,16.5,6.9,17,92.8,24.3,55.1,12.6,5,5,100.0
34,2.0,6.1,16,82.9,21.6,80.6,0.4,9,10,100.0
52,10.9,7.0,2,87.2,42.4,63.5,18.2,8,9,82.2
44,13.8,10.2,11,71.0,17.5,63.9,1.2,5,3,93.27
47,10.9,10.9,13,90.5,10.5,48.8,3.0,3,4,87.43
40,3.4,9.8,4,65.0,9.7,78.6,4.6,7,9,74.55
33,15.9,6.8,11,87.5,1.5,79.8,4.6,5,2,99.18
22,0.4,7.6,16,83.6,4.6,66.1,17.3,4,1,71.92
36,19.9,7.5,12,65.6,9.5,77.5,17.2,6,6,100.0
42,8.3,6.5,1,72.8,46.7,84.6,27.9,10,10,81.01
46,1.7,8.1,18,84.3,44.2,69.2,16.4,3,8,94.37
48,13.9,8.0,18,63.1,45.8,54.3,22.8,7,3,100.0
21,7.1,7.6,6,92.2,49.3,73.2,6.9,2,3,79.72
54,3.0,6.7,1,78.7,45.6,71.7,8.6,3,5,62.66
51,18.7,10.7,17,81.4,18.3,93.5,18.1,8,9,100.0
38,10.5,11.2,15,88.9,1.4,53.5,26.3,6,8,87.98
36,16.0,11.0,16,74.2,47.8,83.9,9.9,8,2,100.0
34,8.8,11.4,7,99.8,30.7,86.6,2.5,8,4,99.16
21,17.5,8.7,4,71.8,16.6,49.6,1.3,4,3,78.24
53,3.5,11.1,3,79.6,13.7,56.9,26.3,3,8,50.78
36,1.1,11.6,11,73.8,21.2,68.6,6.7,1,5,70.81
28,15.0,11.6,15,95.4,33.2,51.6,23.2,7,6,100.0
27,19.2,7.5,2,66.5,13.0,43.4,22.5,5,10,72.14
28,18.5,9.1,10,67.1,27.8,49.2,3.0,4,3,92.05
46,8.3,6.2,0,99.8,26.2,94.2,12.8,8,7,84.62
53,16.3,7.0,2,61.0,48.6,96.1,22.7,4,4,83.45
46,8.3,8.6,18,95.5,4.3,62.7,18.6,7,2,93.96
43,0.2,6.7,6,83.9,43.8,93.8,25.1,3,3,66.22
27,11.9,12.0,16,62.2,8.0,55.9,14.4,2,1,80.46
54,1.0,7.6,9,78.8,29.3,51.7,26.7,10,6,68.07
53,12.2,9.8,15,89.0,27.1,94.0,8.7,5,8,100.0
