Age,StudyHours,Attendance,PreviousMarks,AssignmentScore,QuizScore,Backlogs,Activities,SleepHours,PerformanceScore
19,3.2,95.5,58.3,76.7,93.1,3,10,4.1,60.56
21,1.5,67.5,90.3,96.1,80.9,3,1,6.5,54.78
22,6.2,78.8,79.3,83.2,70.8,2,7,5.4,76.69
19,1.0,60.9,57.3,50.9,98.6,5,7,6.9,35.85
18,1.2,84.7,65.6,90.8,82.9,3,2,4.3,48.81
23,2.2,94.3,91.1,50.3,54.0,2,5,7.9,63.27
25,2.5,76.1,94.9,80.9,71.5,1,6,4.1,67.28
22,8.6,78.6,77.6,82.8,81.5,0,2,7.8,94.75
21,1.6,91.0,69.5,71.0,69.2,4,8,8.1,52.1
22,5.2,84.5,40.3,61.6,96.3,5,5,8.7,54.77
24,4.1,60.2,84.3,72.5,76.5,5,5,5.9,52.82
25,5.5,62.4,80.4,74.1,90.9,2,8,6.9,73.98
19,9.0,85.2,85.7,44.6,81.0,3,3,5.2,81.72
22,2.4,84.9,69.0,55.7,93.9,5,3,8.3,48.59
25,2.3,82.9,80.1,72.6,100.0,5,6,7.7,53.77
20,8.6,67.4,47.2,54.3,70.1,3,4,5.4,67.52
21,5.8,59.6,42.8,58.8,76.5,0,2,8.9,69.25
20,4.7,53.3,44.5,67.0,88.5,0,6,7.8,66.94
22,8.6,64.9,90.4,52.5,87.0,0,8,8.7,96.63
22,6.9,94.7,64.4,51.9,75.8,2,3,8.7,77.61
22,2.0,92.0,52.9,93.9,62.8,1,7,8.3,63.09
19,4.9,82.1,45.1,62.0,89.6,5,7,6.3,52.25
22,5.7,67.5,71.0,80.9,56.0,0,0,5.2,72.94
21,8.5,68.9,66.0,70.3,52.9,1,5,8.6,83.7
18,5.7,98.5,65.0,41.4,69.3,1,1,7.7,74.02
25,1.7,59.2,84.2,72.9,81.9,1,4,4.9,58.07
21,8.2,96.0,53.6,91.9,66.7,1,1,5.1,82.86
18,5.9,67.0,91.4,63.8,75.2,4,3,8.3,67.55
22,6.3,71.5,44.2,49.6,62.1,3,5,5.4,57.62
22,8.9,75.5,89.6,66.7,97.2,1,6,4.8,93.29
23,2.7,81.4,64.0,86.9,97.3,4,5,4.5,52.5
25,9.4,65.0,82.4,88.1,78.0,4,5,4.8,79.11
23,5.2,76.5,69.8,40.6,96.7,5,7,7.2,57.98
18,9.5,51.6,93.3,53.0,79.5,3,9,6.9,84.3
24,9.7,71.9,42.4,52.5,77.4,0,0,4.9,81.67
24,8.4,72.1,94.7,45.1,41.7,5,10,5.6,70.98
19,7.0,88.4,65.6,96.3,87.3,4,0,8.9,73.34
24,4.7,59.7,91.5,78.5,48.3,5,4,6.3,54.59
18,6.6,68.1,85.1,77.9,84.6,1,6,6.4,82.94
22,3.6,76.5,84.1,86.8,73.1,2,5,8.1,69.31
23,6.3,93.8,90.6,49.3,55.5,5,10,8.0,70.09
18,7.7,92.3,55.2,83.3,87.5,0,10,7.4,92.54
20,4.5,89.5,80.7,72.0,44.5,4,10,6.4,63.13
22,6.7,69.3,67.4,83.2,43.7,4,10,6.1,65.3
19,7.4,71.4,48.4,88.2,81.6,3,1,7.8,69.26
19,3.3,71.0,44.4,47.6,89.1,5,3,8.8,42.47
22,7.0,74.1,43.3,54.8,50.7,3,0,6.4,58.59
21,8.7,78.1,91.1,69.1,66.9,4,4,8.6,81.39
24,9.6,81.7,57.1,78.0,55.5,1,10,6.4,89.77
22,9.2,55.2,48.2,92.7,65.4,0,10,8.7,89.4
24,7.1,75.7,87.7,76.6,77.3,2,8,7.5,84.36
19,2.6,96.9,72.4,62.5,77.5,2,10,4.8,63.68
20,1.3,72.1,74.0,42.8,96.2,2,5,6.7,53.22
19,6.6,74.6,42.5,66.4,50.9,3,6,4.5,59.17
19,9.0,73.6,81.7,44.4,64.4,2,8,8.9,86.92
18,8.6,63.2,44.6,68.3,99.4,4,10,7.7,71.66
25,3.2,81.5,52.4,87.6,81.9,1,7,7.4,66.05
22,6.3,74.0,42.1,60.0,88.7,5,6,9.0,57.39
19,1.8,56.0,67.7,60.2,60.9,3,6,6.1,44.54
18,6.1,67.1,87.6,89.9,55.4,5,9,5.1,63.85
19,1.3,96.3,88.1,65.5,69.7,2,7,6.0,61.5
21,3.8,66.2,61.1,40.4,61.9,1,7,5.5,58.95
23,9.6,61.8,91.2,60.7,94.0,1,3,8.7,95.23
21,5.3,85.8,82.1,40.2,62.8,5,2,4.8,54.98
24,3.8,86.5,93.2,99.5,62.9,1,1,6.9,75.44
22,8.1,72.0,56.2,86.9,67.0,3,2,7.9,73.14
18,7.9,99.1,57.0,52.0,65.0,2,8,7.9,81.27
21,1.1,96.3,49.6,83.1,49.8,5,10,8.9,43.25
19,9.8,60.1,93.5,96.1,51.0,4,3,7.3,82.1
19,6.5,71.4,90.4,79.5,68.6,2,4,7.0,78.69
21,6.5,56.0,40.8,46.4,94.7,0,9,5.6,71.61
20,2.9,54.8,40.9,91.8,57.7,2,10,8.6,53.34
19,3.6,99.8,54.5,83.4,86.2,5,3,5.6,52.05
24,4.6,87.3,51.1,95.3,86.3,1,2,7.5,71.3
20,3.3,77.6,77.5,66.7,67.8,1,6,7.0,67.55
25,5.1,65.0,91.5,73.8,45.2,0,5,8.7,79.38
24,6.9,69.8,64.1,78.9,55.1,5,1,5.4,56.88
24,3.4,98.7,48.6,67.4,71.0,0,0,5.5,64.83
18,2.6,85.8,50.1,41.5,40.1,2,6,5.9,49.14
19,7.9,92.1,63.6,43.5,40.5,1,10,4.9,80.22
18,3.2,76.9,52.8,63.8,93.7,3,9,8.4,58.03
22,8.0,73.6,83.7,62.5,88.2,5,2,4.9,68.62
23,9.5,97.9,92.1,88.4,54.9,2,0,4.2,91.13
19,3.7,68.3,89.2,77.9,83.6,5,10,8.4,60.31
20,4.8,87.9,56.2,40.4,49.4,0,3,4.8,66.11
20,9.4,50.2,63.6,87.1,86.0,3,3,5.7,76.05
18,7.8,80.1,56.1,88.1,93.8,3,5,4.1,74.03
19,5.4,89.7,41.1,80.5,76.5,1,9,8.4,74.42
20,4.8,84.2,86.0,59.8,55.9,1,0,4.2,69.31
22,10.0,84.3,71.9,59.6,64.0,2,2,5.0,85.2
25,9.1,74.5,87.6,81.5,78.2,2,0,7.6,88.77
19,7.3,87.3,74.9,76.1,72.2,4,4,8.4,74.61
